Nombre,Posicion,Edad,Altura,Origen,Equipo,Partidos_jugados,Titutlar,Minutos,Goles,Asistencias,G+A,G-PK,Goles_penalti,Penaltis_tirados,Amarillas,Rojas,Goles_esperadospor_ocasion,Conducciones,Pases,Altura_cm,GA_por_90
Mateus Lusuardi,Defensa central,20,"1,90m",br BRA,Frosinone,4,3,219,0,0,0,0,0,0,1,0,0.1,2.0,12.0,190,0.0
Riccardo Marchizza,Lateral izquierdo,26,"1,86m",it ITA,Frosinone,13,13,1148,0,4,4,0,0,0,1,0,0.4,6.0,36.0,186,0.313588850174216
Emanuele Valeri,Lateral izquierdo,25,"1,80m",it ITA,Frosinone,16,14,1178,0,1,1,0,0,0,3,0,0.9,38.0,41.0,180,0.07640067911714771
Anthony Oyono,Lateral derecho,23,"1,84m",ga GAB,Frosinone,16,14,1198,0,1,1,0,0,0,4,0,0.1,35.0,33.0,184,0.07512520868113522
Pol Lirola,Lateral derecho,26,"1,83m",es ESP,Frosinone,25,18,1536,2,1,3,2,0,0,1,0,1.3,30.0,65.0,183,0.17578125
Enzo Barrenechea,Pivote,23,"1,86m",ar ARG,Frosinone,36,32,2811,0,1,1,0,0,0,10,0,0.6,10.0,155.0,186,0.032017075773746
Luca Mazzitelli,Mediocentro,28,"1,84m",it ITA,Frosinone,29,26,2210,5,0,5,5,0,0,6,1,2.3,18.0,167.0,184,0.20361990950226244
Abdou Harroui,Mediocentro,26,"1,82m",nl NED,Frosinone,18,13,1019,3,3,6,2,1,1,2,0,3.1,43.0,38.0,182,0.5299313052011776
Mehdi Bourabia,Mediocentro,32,"1,83m",ma MAR,Frosinone,10,3,200,0,0,0,0,0,0,1,0,0.1,1.0,7.0,183,0.0
Nadir Zortea,Interior derecho,25,"1,87m",it ITA,Frosinone,14,14,1258,1,5,6,1,0,0,3,0,0.4,31.0,42.0,187,0.4292527821939587
Reinier,Mediocentro ofensivo,22,"1,85m",br BRA,Frosinone,22,13,1059,2,2,4,2,0,0,3,0,1.3,10.0,32.0,185,0.3399433427762039
Luca Garritano,Mediocentro ofensivo,30,"1,72m",it ITA,Frosinone,12,5,485,0,0,0,0,0,0,1,0,0.7,6.0,23.0,172,0.0
Francesco Gelli,Mediocentro ofensivo,27,"1,73m",it ITA,Frosinone,27,16,1561,0,0,0,0,0,0,3,0,0.7,42.0,61.0,173,0.0
Giuseppe Caso,Extremo izquierdo,25,"1,72m",it ITA,Frosinone,14,2,417,0,0,0,0,0,0,2,0,0.3,15.0,20.0,172,0.0
Jaime Báez,Extremo izquierdo,29,"1,78m",uy URU,Frosinone,11,6,500,1,0,1,1,0,0,1,0,0.5,12.0,29.0,178,0.18
Demba Seck,Extremo derecho,23,"1,90m",sn SEN,Torino,9,5,425,0,0,0,0,0,0,1,0,0.3,23.0,12.0,190,0.0
Walid Cheddira,Delantero centro,26,"1,87m",ma MAR,Frosinone,36,24,2120,7,1,8,6,1,1,0,0,9.0,31.0,22.0,187,0.33962264150943394
Kaio Jorge,Delantero centro,22,"1,82m",br BRA,Frosinone,20,8,812,3,0,3,2,1,2,2,0,5.4,6.0,11.0,182,0.33251231527093594
Marvin Cuni,Delantero centro,22,"1,88m",al ALB,Frosinone,22,6,534,1,0,1,1,0,0,0,0,1.3,6.0,11.0,188,0.16853932584269662
Nicola Leali,Portero,31,"1,93m",it ITA,Genoa,3,2,176,0,0,0,0,0,0,1,0,0.0,0.0,0.0,193,0.0
Daniele Sommariva,Portero,26,"1,85m",it ITA,Genoa,1,0,5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,185,0.0
Radu Drăgușin,Defensa central,22,"1,91m",ro ROU,Genoa,19,19,1710,2,1,3,2,0,0,1,0,1.0,6.0,29.0,191,0.15789473684210525
Johan Vásquez,Defensa central,25,"1,85m",mx MEX,Genoa,37,32,2850,1,1,2,1,0,0,6,0,1.9,29.0,81.0,185,0.06315789473684211
Alan Matturro,Defensa central,19,"1,89m",uy URU,Genoa,6,1,106,0,0,0,0,0,0,0,0,0.1,0.0,4.0,189,0.0
